address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"Rue Chardon-Lagache",attraction,87584,48.843153156081,2.2647170614333,Paris,"Rue Chardon Lagache",4d2c86d0342d6dcbcc4320cb,0,"Other Great Outdoors",http://tour-pedia.org/api/getPlaceDetails?id=87584,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87584
"4 cité du Couvent",attraction,87590,48.854703859718,2.3838866913463,Paris,"Grande Loge féminine de France",4d2f454279dd6ea8945390d3,0,"Spiritual Center",http://tour-pedia.org/api/getPlaceDetails?id=87590,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87590
"20 Rue de la Forge Royale",attraction,87594,48.851664808069,2.3806204109082,Paris,"Twenty One Sound",4d30f199982f224b1d30b615,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=87594,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87594
Javel,attraction,87595,48.843395518807,2.2827959060669,Paris,"Quartier de Javel",4d30f21112412c0f4afe8dd9,0,Neighborhood,http://tour-pedia.org/api/getPlaceDetails?id=87595,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87595
"Place du cardinal amette",attraction,87597,48.85051907211,2.2961748910274,Paris,"Paroisse Saint Léon",4d31afba8250f04d17f5ebe0,0,Church,http://tour-pedia.org/api/getPlaceDetails?id=87597,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87597
"Place Stalingrad",attraction,87602,48.882553823314,2.3700213432312,Paris,"Écluses de la Vilette",4d330918b6093704f940fddf,0,River,http://tour-pedia.org/api/getPlaceDetails?id=87602,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87602
"167 rue du Chevaleret",attraction,87603,48.833075165749,2.3698872327805,Paris,"Sud Radio",4d3406b6329e54818fa7be1d,0,"Radio Station",http://tour-pedia.org/api/getPlaceDetails?id=87603,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87603
"Place Franz Liszt",attraction,87618,48.878973,2.35193,Paris,"Église Saint-Vincent-de-Paul",4d3744ed4d8a6dcb7816693f,0,Church,http://tour-pedia.org/api/getPlaceDetails?id=87618,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87618
"184-194 Rue du Château des Rentiers",attraction,87625,48.830534330692,2.3622287212767,Paris,"Gymnase Chateau Des Rentiers",4d39d3c634ee3704edf8709b,0,Stadium,http://tour-pedia.org/api/getPlaceDetails?id=87625,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87625
"XVIème Arrondissement",attraction,87629,48.847909434814,2.2598782021398,Paris,Auteuil,4d3af3266de7721edba0f349,0,Neighborhood,http://tour-pedia.org/api/getPlaceDetails?id=87629,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87629
"34 rue de Cîteaux",attraction,87630,48.849752742549,2.3811770388023,Paris,"Le Siffleur de Ballons",4d3b3564fa736ea8a7da1d8a,0,"Wine Bar",http://tour-pedia.org/api/getPlaceDetails?id=87630,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87630
"5-17 rue d'ULM",attraction,87632,48.844384028766,2.3453450202942,Paris,"Paroisse Notre-Dame du Liban",4d3c0ce96b3d236a3ca35d64,0,Church,http://tour-pedia.org/api/getPlaceDetails?id=87632,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87632
"Place de la Porte de Saint-Cloud",attraction,87634,48.838722,2.256139,Paris,"Église Sainte-Jeanne-de-Chantal",4d3d388c44f5a093ac35d3bb,0,Church,http://tour-pedia.org/api/getPlaceDetails?id=87634,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87634
"Boulevard Ménilmontant",attraction,87668,48.863671,2.3873,Paris,"Chez Benichasse",4d4960d748a06dcb27896ea2,0,Synagogue,http://tour-pedia.org/api/getPlaceDetails?id=87668,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87668
"Paris 11",attraction,87677,48.852097392082,2.3857539240271,Paris,"Parc de la Folie-Titon",4d4c2692fe85a1cd60269abf,0,Park,http://tour-pedia.org/api/getPlaceDetails?id=87677,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=87677
